,form,meaning,KEY-MEANING
0,Mama,Mama,MOM
1,Lala,"Lalka , dziewczynka",DOLL
2,Lala,"Lalka , dziewczynka",GIRL
3,Am,Jeść ,EAT
4,Ań,Ania,PERSON
5,Baba,Babcia,GRANDMA
6,Bam,"Upadek, uderzenie",BAM
7,Be,Brudno,DIRTY
8,Beee,Owca,SHEEP
9,Brum,Auto,CAR
10,Ci ci,Ciocia,AUNT
11,Da,Daj,GIVE
12,Du,Królik Bing,CHARACTER
13,Dum dum,Bidon,WATER-BOTTLE
14,Dzia dzia,Dziadek,GRANDPA
15,Dżu dżu,Drzewo,TREE
16,Hau hau,Pies,DOG
17,Kfa kfa,Kaczka,DUCK
18,Meee,Owca,SHEEP
19,Miau,Kot,CAT
20,Ny ny,Spać ,SLEEP
21,Tata,Tata,DAD
22,Tu tu,Słoń ,ELEPHANT
23,Wrum,Motor,MOTORCYCLE
24,Ziii,Zimno,COLD
25,Ziuuu,Zjeżdżalnia ,SLIDE
26,Dadada,"Iść, pójść ",GO
27,Din din,Rower,BIKE
28,Io io,Osioł ,DONKEY
29,La a,Lama,LLAMA
30,łaaaa,"Lew, tygrys",LION
31,łaaaa,"Lew, tygrys",TIGER
32,Lalala,śpiewać ,SING
33,łe,Płakać ,CRY
34,Łi łi,"Policja, karetka, straż ",AMBULANCE
35,Łi łi,"Policja, karetka, straż ",FIRE-BRIGADE
36,Łi łi,"Policja, karetka, straż ",POLICE
37,Nu nu,Lody,ICE-CREAM
38,Pa,"Pan, pani",MAN
39,Pa,"Pan, pani",WOMAN
40,Pf,Kupa,POOP
41,Si,Sikać ,PEE
42,Siup,Pić ,DRINK
43,Sssss,Wąż ,SNAKE
44,Ti ta,Zegar,CLOCK
45,Ał,"Rana, boli, uderzyć się ",HIT
46,Ał,"Rana, boli, uderzyć się ",HURTS
47,Ał,"Rana, boli, uderzyć się ",WOUND
48,Bam bam,"Klocki, bębenek ",BLOCKS
49,Bam bam,"Klocki, bębenek ",DRUM
50,Ci,Ja (Józek) ,SELF
51,Ciii,Cicho,QUIET
52,Gę gę,Gęś ,GOOSE
53,Ooooo,Zdziwienie ,EXCLAMATION
54,Gru gru,Gołąb ,DOVE
55,Gyl gyl,Gilgotki ,TICKLING
56,Kra kra,Wrona,CROW
57,Ne,Nie,NO
58,Ta,Tak,YES
59,Tyr tyr,Traktor ,TRACTOR
60,Cia,Kroić ,CUT
61,Ziu,Latać ,FLYING
62,Ciiiiii,"Ciepłe, gorące ",HOT
63,Ciiiiii,"Ciepłe, gorące ",WARM
64,Łała,Jaja,EGG
65,Bziu bziu,Brak,
66,Bum,"Wybuch, petarda",FIREWORKS
67,Daba,Brak ,
68,Bama,Brak,
69,Badada,Bandyta,BANDIT
70,Diba,Brak,
71,Gła gła,Grabić ,RAKING
72,Iiii,Piszczeć,SQUEAK
73,Tutu,Trąbka ,TRUMPET
74,Ti tit,Trąbić ,HONK
75,Bam bam,Klocki,BLOCKS
76,Iiiiiiiii,Piszczenie ,SQUEAK
77,Dzi,Dzik,BOAR
78,Mamu,Brak,MOM
79,Dadu,Brak,DAD
80,Arra,Papuga,PARROT
81,Haha,śmiać się ,LAUGH
82,Hihi,śmiech ,LAUGHTER
83,Ty,"Ja (Józio), pokazanie palcem na siebie",SELF
84,Ziuzia,Zuzia,PERSON
85,Dziadziu,Dziadek,GRANDPA
86,Dziadzio,Dziadek,GRANDPA
87,Muma,Brak,MOM
88,Ciucia,Ciuchcia,CHOO-CHOO
89,Miam mniam,Smaczne ,DELICIOUS
90,Tadziu,Brak,PERSON
91,Badziu,Brak,
92,Lucia,Brak,PERSON
93,Lula,Brak,
94,Piła ,Piła ,SAW
95,Dudu,Drabina,LADDER
96,Ma,"Mieć, posiadać ",HAVE
97,Ej,Hej,HI
98,Łiła,Brak,
99,Lula,Rura,PIPE
100,Luli luli laj,Lu la lu,RHYME
101,Nina,Nina (kuzynka) ,PERSON
102,Haj,Hak,HOOK
103,Dudi,Duży ,BIG
104,Dyda,Dynia,PUMPKIN
105,Duzi,Duży ,BIG
106,Duzi,Duży ,BIG
107,Blu,Blue niebieski ,BLUE
108,Pibu,Pikabu,PEEK-A-BOO
109,Pla Pla Pla ,Hlap Hlap hlap,SPLASH
110,Pociąg ,Pociąg ,TRAIN
111,Kop,Kot,CAT
112,Pes,Pies,DOG
113,Fafa,Żyrafa ,GIRAFFE
114,Soń,Słoń ,ELEPHANT
115,Miś ,Miś,TEDDY-BEAR
116,Myś,Mysz,MOUSE
117,Bzi,Owad ,INSECT
118,Koko,Kura,HEN
119,Bocian,Bocian ,STORK
120,Dom,Dom,HOME
121,Piciu,Picie,DRINK
122,Buty,Buty,SHOES
123,Łoweł,Rower,BIKE
124,Manian,Motor,MOTORCYCLE
125,Sacja,Stacja,STATION
126,Kask,Kask,HELMET
127,Bacia,Babcia,GRANDMA
128,Dziadzia,Dziadek ,GRANDPA
129,Ela,Hela,PERSON
130,Awa,Ewa,PERSON
131,Manin,Marcin,PERSON
132,Ania,Hania,PERSON
133,Emem,Emil,PERSON
134,Ciś,Krzyś ,PERSON
135,Filipip,Filip,PERSON
136,Buzia,Burza,STORM
137,Desc,Deszcz,RAIN
138,Ziemba,Zęby,TEETH
139,Ciocia,Ciocia,AUNT
140,Cicia,Cycuś,BREAST
141,Nis,Nos,NOSE
142,Oto,Oko,EYE
143,śtopa,Stopa,FEET
