family_id,child_id,word_id_nr,word_id,word_hash,word_type_id,name,form,version,meaning,language,KEY-MEANING,NAME,HOMONYM,OVER-EXTENSION,CODER
281,673,1926,NOqToPeOUOUsX8pWwMEtG,u8ZQ8WI82re-wrmY_FpGA,1,WORD,Mama,0,Mama,polski,MOM,,,,JB
281,673,1950,WmJ4myr8wVKipo5MMjF0S,ccoswUrZ6uTqMfK0vLa-K,1,WORD,Lala,0,"Lalka , dziewczynka",polski,DOLL,,,1,JB
281,673,1950,WmJ4myr8wVKipo5MMjF0S,ccoswUrZ6uTqMfK0vLa-K,1,WORD,Lala,0,"Lalka , dziewczynka",polski,GIRL,,,1,JB
281,673,1970,7zErRsvakEJGmUgOw8Mh8,qpgsdKsdyJZO_7wjRwgVW,1,WORD,Am,0,Jeść ,polski,EAT,,,,US
281,673,1968,EaYZixfF-uor_bNO9IuUw,9VADOJgTAd4qUBX5-QNOi,1,WORD,Ań,0,Ania,polski,PERSON,1,,,JB
281,673,1952,99YcyP2AhTc4DSb3jRLJW,QQE5ZNNTIE6pIB6fyFw9J,1,WORD,Baba,0,Babcia,polski,GRANDMA,,,,JB
281,673,1964,2ODCbDqhPpmmF6Bc1X2oX,6BoFZ01P4TLt2uv0DjkJ5,1,WORD,Bam,0,"Upadek, uderzenie",polski,BAM,,,,AS(AW)
281,673,1960,BJ2GI58bo9KoY2dC7zFrD,KhfFQ2hMOyexUu8You2UY,1,WORD,Be,0,Brudno,polski,DIRTY,,,,JB
281,673,1961,dcHwIUN-Eeysu_NXr0gEY,ZEHm77m_FepDl76ZjdIES,1,WORD,Beee,0,Owca,polski,SHEEP,,,,US
281,673,1966,iCTeBkBiU1BNmtZVwb9sc,oQhYlh0K4SxjjGo0Cm61L,1,WORD,Brum,0,Auto,polski,CAR,,,,JB
281,673,1954,pYCBr8gFE8ySiWIkC8PKh,QjrLAtO6I7F0d-8ohnzQ1,1,WORD,Ci ci,0,Ciocia,polski,AUNT,,,,JB
281,673,1957,TZ8Wk2GbFxE5zokIYtnZo,y-jr1P0XtUhPjkysg-kbF,1,WORD,Da,0,Daj,polski,GIVE,,,,JB
281,673,1969,FDzljUdeofpHjqO6V5SaX,QLLG3EU7snk54weLi0Y4I,1,WORD,Du,0,Królik Bing,polski,CHARACTER,1,,,JB
281,673,1974,C-Rh-JqeucY96lgf8qoV6,YnZNNXTxKLsTJSjEPowfh,1,WORD,Dum dum,0,Bidon,polski,WATER-BOTTLE,,,,JB
281,673,1953,5OKi-vaofZDzWGF1WEsc4,A7ZMTjAHhn-qcbycGtDq3,1,WORD,Dzia dzia,0,Dziadek,polski,GRANDPA,,,,US
281,673,1972,mgqrpneulLT1hs3TeXW_0,ifQrtSGCdDpUl_ffj3SKT,1,WORD,Dżu dżu,0,Drzewo,polski,TREE,,,,US
281,673,1958,#NAME?,H6sXgj65tfGA347uL_hgl,1,WORD,Hau hau,0,Pies,polski,DOG,,,,US
281,673,1956,FaYpl_aqx36Hwv33jywBH,zhSNyLwtwyV0__5XcqOsL,1,WORD,Kfa kfa,0,Kaczka,polski,DUCK,,,,JB
281,673,1962,RmOUPHjKoWaIkNH9sm4Uh,8pfGNRCPIuskheYvebIHw,1,WORD,Meee,0,Owca,polski,SHEEP,,,,US
